Batch number: 17, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 151275.000000, avg_PtsChecked 128121.337100, wrst_Dist 0.311593, avg_Dist 0.004021, wrst_RelativeDist 1.083011, avg_RelativeDist 1.001079, avg_rho 0.925700, tau 7536.624607, tau_other 0.001698, num_buckets 6159,ClusteringTime 0.100000,avg_SearchingTime 0.368670, wrst_SearchingTime 0.580000 
Batch number: 18, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 160479.000000, avg_PtsChecked 136675.939700, wrst_Dist 0.290394, avg_Dist 0.003955, wrst_RelativeDist 1.077354, avg_RelativeDist 1.001076, avg_rho 0.928900, tau 7593.183693, tau_other 0.001657, num_buckets 6364,ClusteringTime 0.100000,avg_SearchingTime 0.390731, wrst_SearchingTime 0.660000 
Batch number: 19, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 169788.000000, avg_PtsChecked 144793.651800, wrst_Dist 0.315695, avg_Dist 0.003496, wrst_RelativeDist 1.068943, avg_RelativeDist 1.000963, avg_rho 0.931100, tau 7620.794724, tau_other 0.001618, num_buckets 6557,ClusteringTime 0.100000,avg_SearchingTime 0.408780, wrst_SearchingTime 0.670000 
Batch number: 20, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 178987.000000, avg_PtsChecked 152819.385200, wrst_Dist 0.405546, avg_Dist 0.003659, wrst_RelativeDist 1.071701, avg_RelativeDist 1.000996, avg_rho 0.926400, tau 7641.045670, tau_other 0.001576, num_buckets 6724,ClusteringTime 0.130000,avg_SearchingTime 0.429863, wrst_SearchingTime 0.680000 
Batch number: 21, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 188163.000000, avg_PtsChecked 161279.078400, wrst_Dist 0.361477, avg_Dist 0.003797, wrst_RelativeDist 1.073427, avg_RelativeDist 1.001027, avg_rho 0.929100, tau 7680.032915, tau_other 0.001535, num_buckets 6876,ClusteringTime 0.100000,avg_SearchingTime 0.450678, wrst_SearchingTime 0.690000 
Batch number: 22, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 197555.000000, avg_PtsChecked 169648.713700, wrst_Dist 0.316268, avg_Dist 0.003384, wrst_RelativeDist 1.069520, avg_RelativeDist 1.000929, avg_rho 0.933400, tau 7711.382282, tau_other 0.001506, num_buckets 7070,ClusteringTime 0.100000,avg_SearchingTime 0.477051, wrst_SearchingTime 0.740000 
Batch number: 23, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 206759.000000, avg_PtsChecked 177919.805200, wrst_Dist 0.452259, avg_Dist 0.003319, wrst_RelativeDist 1.086888, avg_RelativeDist 1.000910, avg_rho 0.935600, tau 7735.721062, tau_other 0.001475, num_buckets 7239,ClusteringTime 0.110000,avg_SearchingTime 0.499076, wrst_SearchingTime 0.830000 
Batch number: 24, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 216033.000000, avg_PtsChecked 185108.877100, wrst_Dist 0.376937, avg_Dist 0.003858, wrst_RelativeDist 1.076032, avg_RelativeDist 1.001022, avg_rho 0.930700, tau 7712.947009, tau_other 0.001443, num_buckets 7386,ClusteringTime 0.100000,avg_SearchingTime 0.514118, wrst_SearchingTime 0.750000 
Batch number: 25, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 520.000000, avg_PtsChecked 507.757600, wrst_Dist 0.113808, avg_Dist 0.000221, wrst_RelativeDist 1.002531, avg_RelativeDist 1.000005, avg_rho 0.990500, tau 20.310507, tau_other 0.001415, num_buckets 7549,ClusteringTime 0.110000,avg_SearchingTime 0.294160, wrst_SearchingTime 0.470000 
Batch number: 26, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 9181.000000, avg_PtsChecked 8944.151400, wrst_Dist 0.258220, avg_Dist 0.000167, wrst_RelativeDist 1.046310, avg_RelativeDist 1.000035, avg_rho 0.996000, tau 344.009263, tau_other 0.001569, num_buckets 8700,ClusteringTime 0.880000,avg_SearchingTime 0.341540, wrst_SearchingTime 0.550000 
Batch number: 27, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 18311.000000, avg_PtsChecked 17485.694800, wrst_Dist 0.152479, avg_Dist 0.000286, wrst_RelativeDist 1.031671, avg_RelativeDist 1.000068, avg_rho 0.991600, tau 647.624802, tau_other 0.001618, num_buckets 9319,ClusteringTime 0.880000,avg_SearchingTime 0.377660, wrst_SearchingTime 0.590000 
