L: 3, m: 4, W: 1.871032, wrst_PtsChecked 4897.000000, avg_PtsChecked 2232.840000, wrst_Dist 1.854747, avg_Dist 0.011485, wrst_RelativeDist 2.887588, avg_RelativeDist 1.012336, avg_rho 0.961000, tau 248.093333, tau_other 0.103167, num_buckets 1238, ClusteringTime 0.075111, avg_SearchingTime 0.006333, wrst_SearchingTime 0.007769 
L: 3, m: 4, W: 2.058135, wrst_PtsChecked 5315.000000, avg_PtsChecked 2709.206000, wrst_Dist 1.854747, avg_Dist 0.010555, wrst_RelativeDist 2.719694, avg_RelativeDist 1.007510, avg_rho 0.951000, tau 301.022889, tau_other 0.083083, num_buckets 997, ClusteringTime 0.064071, avg_SearchingTime 0.004535, wrst_SearchingTime 0.005614 
L: 3, m: 4, W: 2.245238, wrst_PtsChecked 5616.000000, avg_PtsChecked 3077.725000, wrst_Dist 0.649888, avg_Dist 0.006011, wrst_RelativeDist 1.390323, avg_RelativeDist 1.003884, avg_rho 0.956000, tau 341.969444, tau_other 0.069333, num_buckets 832, ClusteringTime 0.056405, avg_SearchingTime 0.003544, wrst_SearchingTime 0.004437 
L: 3, m: 4, W: 2.432341, wrst_PtsChecked 5887.000000, avg_PtsChecked 3340.417000, wrst_Dist 1.435371, avg_Dist 0.008046, wrst_RelativeDist 2.631647, avg_RelativeDist 1.006291, avg_rho 0.958000, tau 371.157444, tau_other 0.059167, num_buckets 710, ClusteringTime 0.053261, avg_SearchingTime 0.002911, wrst_SearchingTime 0.003812 
L: 3, m: 4, W: 2.619444, wrst_PtsChecked 5926.000000, avg_PtsChecked 3557.569000, wrst_Dist 1.854747, avg_Dist 0.011268, wrst_RelativeDist 2.785246, avg_RelativeDist 1.009307, avg_rho 0.956000, tau 395.285444, tau_other 0.052000, num_buckets 624, ClusteringTime 0.051500, avg_SearchingTime 0.002550, wrst_SearchingTime 0.003754 
L: 6, m: 2, W: 1.496825, wrst_PtsChecked 3468.000000, avg_PtsChecked 1554.163000, wrst_Dist 1.854747, avg_Dist 0.013954, wrst_RelativeDist 2.719694, avg_RelativeDist 1.010719, avg_rho 0.929000, tau 172.684778, tau_other 0.128167, num_buckets 1538, ClusteringTime 0.089876, avg_SearchingTime 0.009300, wrst_SearchingTime 0.014994 
L: 6, m: 2, W: 1.683929, wrst_PtsChecked 4392.000000, avg_PtsChecked 2174.101000, wrst_Dist 1.854747, avg_Dist 0.012708, wrst_RelativeDist 2.719694, avg_RelativeDist 1.009125, avg_rho 0.939000, tau 241.566778, tau_other 0.101333, num_buckets 1216, ClusteringTime 0.073751, avg_SearchingTime 0.006170, wrst_SearchingTime 0.008446 
L: 6, m: 2, W: 1.871032, wrst_PtsChecked 5020.000000, avg_PtsChecked 2800.737000, wrst_Dist 1.854747, avg_Dist 0.011087, wrst_RelativeDist 2.719694, avg_RelativeDist 1.007959, avg_rho 0.955000, tau 311.193000, tau_other 0.084417, num_buckets 1013, ClusteringTime 0.063299, avg_SearchingTime 0.004731, wrst_SearchingTime 0.006218 
L: 6, m: 2, W: 2.058135, wrst_PtsChecked 5442.000000, avg_PtsChecked 3224.807000, wrst_Dist 1.854747, avg_Dist 0.010524, wrst_RelativeDist 2.719694, avg_RelativeDist 1.007282, avg_rho 0.953000, tau 358.311889, tau_other 0.068250, num_buckets 819, ClusteringTime 0.055838, avg_SearchingTime 0.003507, wrst_SearchingTime 0.004717 
L: 6, m: 2, W: 2.245238, wrst_PtsChecked 5808.000000, avg_PtsChecked 3603.558000, wrst_Dist 1.854747, avg_Dist 0.007907, wrst_RelativeDist 2.719694, avg_RelativeDist 1.005071, avg_rho 0.972000, tau 400.395333, tau_other 0.055583, num_buckets 667, ClusteringTime 0.051546, avg_SearchingTime 0.002778, wrst_SearchingTime 0.004026 
L: 6, m: 2, W: 2.432341, wrst_PtsChecked 6113.000000, avg_PtsChecked 3789.351000, wrst_Dist 1.854747, avg_Dist 0.007881, wrst_RelativeDist 2.719694, avg_RelativeDist 1.005598, avg_rho 0.962000, tau 421.039000, tau_other 0.046250, num_buckets 555, ClusteringTime 0.048291, avg_SearchingTime 0.002346, wrst_SearchingTime 0.003644 
L: 6, m: 2, W: 2.619444, wrst_PtsChecked 5889.000000, avg_PtsChecked 3906.432000, wrst_Dist 1.364270, avg_Dist 0.010794, wrst_RelativeDist 2.102559, avg_RelativeDist 1.007253, avg_rho 0.955000, tau 434.048000, tau_other 0.037333, num_buckets 448, ClusteringTime 0.047018, avg_SearchingTime 0.001980, wrst_SearchingTime 0.002690 
L: 6, m: 3, W: 1.496825, wrst_PtsChecked 2369.000000, avg_PtsChecked 928.411000, wrst_Dist 1.854747, avg_Dist 0.025949, wrst_RelativeDist 2.934605, avg_RelativeDist 1.028763, avg_rho 0.881000, tau 103.156778, tau_other 0.365125, num_buckets 2921, ClusteringTime 0.210072, avg_SearchingTime 0.030090, wrst_SearchingTime 0.039521 
L: 6, m: 3, W: 1.683929, wrst_PtsChecked 3299.000000, avg_PtsChecked 1234.159000, wrst_Dist 1.854747, avg_Dist 0.021078, wrst_RelativeDist 2.934605, avg_RelativeDist 1.022507, avg_rho 0.904000, tau 137.128778, tau_other 0.302625, num_buckets 2421, ClusteringTime 0.165292, avg_SearchingTime 0.020587, wrst_SearchingTime 0.027080 
