Batch number: 17, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 131477.000000, avg_PtsChecked 83518.655100, wrst_Dist 0.990313, avg_Dist 0.000850, wrst_RelativeDist 1.316911, avg_RelativeDist -nan, avg_rho 0.994200, tau 4912.911194, tau_other 0.002382, num_buckets 1305,ClusteringTime 0.040000,avg_SearchingTime 0.055310, wrst_SearchingTime 0.070000 
Batch number: 18, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 139168.000000, avg_PtsChecked 88862.455000, wrst_Dist 0.988832, avg_Dist 0.000875, wrst_RelativeDist 1.286042, avg_RelativeDist -nan, avg_rho 0.993700, tau 4936.852424, tau_other 0.002291, num_buckets 1329,ClusteringTime 0.030000,avg_SearchingTime 0.058896, wrst_SearchingTime 0.130000 
Batch number: 19, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 148004.000000, avg_PtsChecked 95113.889500, wrst_Dist 0.525875, avg_Dist 0.000478, wrst_RelativeDist 1.268296, avg_RelativeDist -nan, avg_rho 0.996400, tau 5006.044245, tau_other 0.002223, num_buckets 1361,ClusteringTime 0.030000,avg_SearchingTime 0.062841, wrst_SearchingTime 0.110000 
Batch number: 20, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 157598.000000, avg_PtsChecked 99956.008500, wrst_Dist 0.904167, avg_Dist 0.000752, wrst_RelativeDist 1.401456, avg_RelativeDist -nan, avg_rho 0.994600, tau 4997.850404, tau_other 0.002143, num_buckets 1381,ClusteringTime 0.030000,avg_SearchingTime 0.066366, wrst_SearchingTime 0.120000 
Batch number: 21, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 165046.000000, avg_PtsChecked 105445.775300, wrst_Dist 0.769711, avg_Dist 0.000786, wrst_RelativeDist 1.206013, avg_RelativeDist -nan, avg_rho 0.994600, tau 5021.277608, tau_other 0.002078, num_buckets 1406,ClusteringTime 0.030000,avg_SearchingTime 0.070057, wrst_SearchingTime 0.110000 
Batch number: 22, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 176090.000000, avg_PtsChecked 111451.358700, wrst_Dist 0.434739, avg_Dist 0.000605, wrst_RelativeDist 1.164969, avg_RelativeDist -nan, avg_rho 0.995100, tau 5066.021510, tau_other 0.002021, num_buckets 1433,ClusteringTime 0.030000,avg_SearchingTime 0.073671, wrst_SearchingTime 0.100000 
Batch number: 23, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 183197.000000, avg_PtsChecked 116716.442600, wrst_Dist 0.521340, avg_Dist 0.000604, wrst_RelativeDist 1.287554, avg_RelativeDist -nan, avg_rho 0.995600, tau 5074.678686, tau_other 0.001957, num_buckets 1450,ClusteringTime 0.030000,avg_SearchingTime 0.077321, wrst_SearchingTime 0.130000 
Batch number: 24, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 188820.000000, avg_PtsChecked 121921.020900, wrst_Dist 1.032661, avg_Dist 0.000811, wrst_RelativeDist 1.219289, avg_RelativeDist -nan, avg_rho 0.995500, tau 5080.093338, tau_other 0.001892, num_buckets 1463,ClusteringTime 0.030000,avg_SearchingTime 0.080792, wrst_SearchingTime 0.100000 
Batch number: 25, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 201800.000000, avg_PtsChecked 127713.269700, wrst_Dist 0.779661, avg_Dist 0.000705, wrst_RelativeDist 1.273518, avg_RelativeDist -nan, avg_rho 0.995600, tau 5108.581874, tau_other 0.001851, num_buckets 1491,ClusteringTime 0.030000,avg_SearchingTime 0.084540, wrst_SearchingTime 0.110000 
Batch number: 26, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 203570.000000, avg_PtsChecked 133579.739100, wrst_Dist 1.344584, avg_Dist 0.000652, wrst_RelativeDist 1.276994, avg_RelativeDist -nan, avg_rho 0.996000, tau 5137.733650, tau_other 0.001802, num_buckets 1510,ClusteringTime 0.020000,avg_SearchingTime 0.088235, wrst_SearchingTime 0.110000 
Batch number: 27, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 214373.000000, avg_PtsChecked 139658.583200, wrst_Dist 0.558478, avg_Dist 0.000643, wrst_RelativeDist 1.229456, avg_RelativeDist -nan, avg_rho 0.995700, tau 5172.591844, tau_other 0.001767, num_buckets 1537,ClusteringTime 0.030000,avg_SearchingTime 0.092329, wrst_SearchingTime 0.190000 
Batch number: 28, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 224451.000000, avg_PtsChecked 145195.513400, wrst_Dist 0.647176, avg_Dist 0.000512, wrst_RelativeDist 1.251326, avg_RelativeDist -nan, avg_rho 0.996100, tau 5185.605906, tau_other 0.001720, num_buckets 1552,ClusteringTime 0.030000,avg_SearchingTime 0.095975, wrst_SearchingTime 0.120000 
Batch number: 29, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 232208.000000, avg_PtsChecked 150955.551300, wrst_Dist 0.917437, avg_Dist 0.000525, wrst_RelativeDist 1.196590, avg_RelativeDist -nan, avg_rho 0.997200, tau 5205.415892, tau_other 0.001689, num_buckets 1578,ClusteringTime 0.020000,avg_SearchingTime 0.099757, wrst_SearchingTime 0.120000 
Batch number: 30, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 240860.000000, avg_PtsChecked 156599.827800, wrst_Dist 0.456021, avg_Dist 0.000593, wrst_RelativeDist 1.219231, avg_RelativeDist -nan, avg_rho 0.996000, tau 5220.046460, tau_other 0.001649, num_buckets 1594,ClusteringTime 0.030000,avg_SearchingTime 0.103439, wrst_SearchingTime 0.130000 
Batch number: 31, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 247105.000000, avg_PtsChecked 162390.734800, wrst_Dist 1.103639, avg_Dist 0.000485, wrst_RelativeDist 1.474087, avg_RelativeDist -nan, avg_rho 0.996800, tau 5238.463185, tau_other 0.001618, num_buckets 1616,ClusteringTime 0.020000,avg_SearchingTime 0.107170, wrst_SearchingTime 0.160000 
Batch number: 32, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 259246.000000, avg_PtsChecked 168635.007600, wrst_Dist 0.578395, avg_Dist 0.000412, wrst_RelativeDist 1.167637, avg_RelativeDist -nan, avg_rho 0.997100, tau 5269.896686, tau_other 0.001582, num_buckets 1631,ClusteringTime 0.020000,avg_SearchingTime 0.110891, wrst_SearchingTime 0.190000 
Batch number: 33, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 269175.000000, avg_PtsChecked 175281.566300, wrst_Dist 0.597591, avg_Dist 0.000389, wrst_RelativeDist 1.181449, avg_RelativeDist -nan, avg_rho 0.996800, tau 5311.615731, tau_other 0.001546, num_buckets 1644,ClusteringTime 0.030000,avg_SearchingTime 0.114609, wrst_SearchingTime 0.150000 
Batch number: 34, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 275363.000000, avg_PtsChecked 179730.071000, wrst_Dist 0.774357, avg_Dist 0.000457, wrst_RelativeDist 1.226768, avg_RelativeDist -nan, avg_rho 0.996500, tau 5286.231421, tau_other 0.001510, num_buckets 1654,ClusteringTime 0.020000,avg_SearchingTime 0.117582, wrst_SearchingTime 0.150000 
Batch number: 35, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 280342.000000, avg_PtsChecked 185273.836200, wrst_Dist 0.492646, avg_Dist 0.000432, wrst_RelativeDist 1.209980, avg_RelativeDist -nan, avg_rho 0.997000, tau 5293.591113, tau_other 0.001479, num_buckets 1668,ClusteringTime 0.030000,avg_SearchingTime 0.120976, wrst_SearchingTime 0.150000 
Batch number: 36, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 291152.000000, avg_PtsChecked 190035.954400, wrst_Dist 0.529268, avg_Dist 0.000541, wrst_RelativeDist 1.161795, avg_RelativeDist -nan, avg_rho 0.996900, tau 5278.829299, tau_other 0.001453, num_buckets 1685,ClusteringTime 0.030000,avg_SearchingTime 0.124387, wrst_SearchingTime 0.210000 
Batch number: 37, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 300469.000000, avg_PtsChecked 197943.299300, wrst_Dist 0.412924, avg_Dist 0.000362, wrst_RelativeDist 1.187100, avg_RelativeDist -nan, avg_rho 0.997200, tau 5349.872399, tau_other 0.001433, num_buckets 1709,ClusteringTime 0.030000,avg_SearchingTime 0.129051, wrst_SearchingTime 0.210000 
Batch number: 38, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 309332.000000, avg_PtsChecked 203254.535500, wrst_Dist 0.655636, avg_Dist 0.000513, wrst_RelativeDist 1.240341, avg_RelativeDist -nan, avg_rho 0.996300, tau 5348.857054, tau_other 0.001403, num_buckets 1718,ClusteringTime 0.030000,avg_SearchingTime 0.132519, wrst_SearchingTime 0.200000 
Batch number: 39, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 320788.000000, avg_PtsChecked 209560.400900, wrst_Dist 0.541677, avg_Dist 0.000298, wrst_RelativeDist 1.135616, avg_RelativeDist -nan, avg_rho 0.997600, tau 5373.397347, tau_other 0.001384, num_buckets 1739,ClusteringTime 0.030000,avg_SearchingTime 0.136278, wrst_SearchingTime 0.170000 
Batch number: 40, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 323053.000000, avg_PtsChecked 216224.196400, wrst_Dist 0.695139, avg_Dist 0.000341, wrst_RelativeDist 1.209974, avg_RelativeDist -nan, avg_rho 0.997600, tau 5405.658967, tau_other 0.001356, num_buckets 1748,ClusteringTime 0.030000,avg_SearchingTime 0.141902, wrst_SearchingTime 0.300000 
Batch number: 41, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 337246.000000, avg_PtsChecked 221766.405700, wrst_Dist 0.850874, avg_Dist 0.000370, wrst_RelativeDist 1.212293, avg_RelativeDist -nan, avg_rho 0.997900, tau 5408.990814, tau_other 0.001333, num_buckets 1761,ClusteringTime 0.030000,avg_SearchingTime 0.145934, wrst_SearchingTime 0.310000 
Batch number: 42, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 340399.000000, avg_PtsChecked 227420.226700, wrst_Dist 0.439004, avg_Dist 0.000307, wrst_RelativeDist 1.174616, avg_RelativeDist -nan, avg_rho 0.997400, tau 5414.821451, tau_other 0.001313, num_buckets 1777,ClusteringTime 0.050000,avg_SearchingTime 0.147113, wrst_SearchingTime 0.250000 
Batch number: 43, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 347360.000000, avg_PtsChecked 232731.344000, wrst_Dist 0.389180, avg_Dist 0.000386, wrst_RelativeDist 1.164781, avg_RelativeDist -nan, avg_rho 0.996900, tau 5412.410961, tau_other 0.001290, num_buckets 1787,ClusteringTime 0.030000,avg_SearchingTime 0.150566, wrst_SearchingTime 0.200000 
Batch number: 44, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 362843.000000, avg_PtsChecked 238247.497700, wrst_Dist 1.199886, avg_Dist 0.000383, wrst_RelativeDist 1.481030, avg_RelativeDist -nan, avg_rho 0.998300, tau 5414.770005, tau_other 0.001267, num_buckets 1796,ClusteringTime 0.030000,avg_SearchingTime 0.154083, wrst_SearchingTime 0.260000 
Batch number: 45, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 370699.000000, avg_PtsChecked 244541.972700, wrst_Dist 0.609212, avg_Dist 0.000335, wrst_RelativeDist 1.152736, avg_RelativeDist -nan, avg_rho 0.997800, tau 5434.320403, tau_other 0.001242, num_buckets 1801,ClusteringTime 0.030000,avg_SearchingTime 0.157400, wrst_SearchingTime 0.220000 
Batch number: 46, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 374094.000000, avg_PtsChecked 248657.867600, wrst_Dist 0.295566, avg_Dist 0.000208, wrst_RelativeDist 1.150068, avg_RelativeDist -nan, avg_rho 0.998300, tau 5405.659874, tau_other 0.001223, num_buckets 1813,ClusteringTime 0.020000,avg_SearchingTime 0.160472, wrst_SearchingTime 0.280000 
Batch number: 47, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 386286.000000, avg_PtsChecked 256416.119700, wrst_Dist 0.542833, avg_Dist 0.000359, wrst_RelativeDist 1.216159, avg_RelativeDist -nan, avg_rho 0.997400, tau 5455.716678, tau_other 0.001206, num_buckets 1826,ClusteringTime 0.020000,avg_SearchingTime 0.165206, wrst_SearchingTime 0.300000 
