Batch number: 17, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 60988.000000, avg_PtsChecked 7015.618300, wrst_Dist 0.520346, avg_Dist 0.004939, wrst_RelativeDist 7.572246, avg_RelativeDist 1.024676, avg_rho 0.923400, tau 412.687556, tau_other 0.003103, num_buckets 2110,ClusteringTime 0.110000,avg_SearchingTime 0.042311, wrst_SearchingTime 0.090000 
Batch number: 18, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 59167.000000, avg_PtsChecked 14910.848900, wrst_Dist 0.255630, avg_Dist 0.002411, wrst_RelativeDist 6.274797, avg_RelativeDist 1.017928, avg_rho 0.960200, tau 828.388778, tau_other 0.004081, num_buckets 2938,ClusteringTime 0.280000,avg_SearchingTime 0.057595, wrst_SearchingTime 0.110000 
Batch number: 19, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 64844.000000, avg_PtsChecked 9216.611300, wrst_Dist 0.368387, avg_Dist 0.000932, wrst_RelativeDist 5.721115, avg_RelativeDist 1.006475, avg_rho 0.986600, tau 485.089656, tau_other 0.004478, num_buckets 3403,ClusteringTime 0.280000,avg_SearchingTime 0.066803, wrst_SearchingTime 0.140000 
Batch number: 20, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 64523.000000, avg_PtsChecked 16937.845500, wrst_Dist 0.197500, avg_Dist 0.000397, wrst_RelativeDist 5.992885, avg_RelativeDist 1.003672, avg_rho 0.993500, tau 846.900744, tau_other 0.004649, num_buckets 3719,ClusteringTime 0.290000,avg_SearchingTime 0.076812, wrst_SearchingTime 0.140000 
Batch number: 21, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 69455.000000, avg_PtsChecked 14281.378600, wrst_Dist 0.201649, avg_Dist 0.000410, wrst_RelativeDist 7.274336, avg_RelativeDist 1.003972, avg_rho 0.993600, tau 680.072448, tau_other 0.004618, num_buckets 3879,ClusteringTime 0.290000,avg_SearchingTime 0.081500, wrst_SearchingTime 0.150000 
Batch number: 22, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 71172.000000, avg_PtsChecked 20336.299500, wrst_Dist 0.150721, avg_Dist 0.000188, wrst_RelativeDist 2.021682, avg_RelativeDist 1.001386, avg_rho 0.994800, tau 924.386494, tau_other 0.004602, num_buckets 4050,ClusteringTime 0.290000,avg_SearchingTime 0.088195, wrst_SearchingTime 0.150000 
Batch number: 23, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 75030.000000, avg_PtsChecked 18126.862800, wrst_Dist 0.308383, avg_Dist 0.000288, wrst_RelativeDist 2.189005, avg_RelativeDist 1.001904, avg_rho 0.995800, tau 788.132351, tau_other 0.004537, num_buckets 4174,ClusteringTime 0.280000,avg_SearchingTime 0.092616, wrst_SearchingTime 0.170000 
Batch number: 24, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 79028.000000, avg_PtsChecked 26385.921100, wrst_Dist 0.262578, avg_Dist 0.000287, wrst_RelativeDist 8.897300, avg_RelativeDist 1.003886, avg_rho 0.994900, tau 1099.424373, tau_other 0.004471, num_buckets 4292,ClusteringTime 0.300000,avg_SearchingTime 0.098348, wrst_SearchingTime 0.180000 
Batch number: 25, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 81117.000000, avg_PtsChecked 41496.445000, wrst_Dist 0.140151, avg_Dist 0.001348, wrst_RelativeDist 3.754049, avg_RelativeDist 1.002731, avg_rho 0.976000, tau 1659.874399, tau_other 0.004382, num_buckets 4382,ClusteringTime 0.290000,avg_SearchingTime 0.101642, wrst_SearchingTime 0.200000 
Batch number: 26, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 80533.000000, avg_PtsChecked 54331.008600, wrst_Dist 0.152592, avg_Dist 0.000197, wrst_RelativeDist 6.818134, avg_RelativeDist 1.003136, avg_rho 0.996500, tau 2089.675074, tau_other 0.004460, num_buckets 4638,ClusteringTime 0.520000,avg_SearchingTime 0.110873, wrst_SearchingTime 0.200000 
